<<<<<<< HEAD
date_time,rmse,mse,r2,mae,mape
2024-11-09 19:17:36,162.2365624830732,26320.702206324106,0.677561942914805,97.24366849459135,0.013266886492687455
2024-11-10 23:11:47,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-10 23:12:07,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 09:50:26,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:02:33,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:04:30,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:07:21,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:08:51,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:09:18,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:53:07,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 10:56:08,0.008931287760311072,7.976790105748237e-05,-0.668014801786055,0.006931426756497688,145344224403.24026
2024-11-13 11:02:40,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:04:30,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:08:32,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:09:53,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:12:04,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:13:45,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:14:31,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-13 11:15:44,0.008379229877718466,7.021149334364982e-05,-0.46317275085196186,0.006410551337388871,201898285722.44394
2024-11-14 03:31:26,0.009250397411399616,8.556985226882873e-05,-0.8365136716116313,0.00699798543584315,178041668819.05634
2024-11-14 10:17:46,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:19:45,0.006826001012349512,4.659428982059656e-05,-1.4000324877860848e-05,0.005223333691260941,3932806942.4123893
2024-11-14 10:20:09,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:28:48,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:29:24,0.00682651790591145,4.660134671972965e-05,-0.00016545660759281766,0.005221609554781891,5595263187.577577
2024-11-14 10:29:41,0.00682651790591145,4.660134671972965e-05,-0.00016545660759281766,0.005221609554781891,5595263187.577577
2024-11-14 10:30:01,0.00682651790591145,4.660134671972965e-05,-0.00016545660759281766,0.005221609554781891,5595263187.577577
2024-11-14 10:30:13,0.00682651790591145,4.660134671972965e-05,-0.00016545660759281766,0.005221609554781891,5595263187.577577
2024-11-14 10:30:28,0.00682651790591145,4.660134671972965e-05,-0.00016545660759281766,0.005221609554781891,5595263187.577577
2024-11-14 10:34:05,0.00682635645441283,4.65991424427037e-05,-0.0001181480662451051,0.005221891522612245,5231944037.275244
2024-11-14 10:35:08,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:41:15,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:41:56,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:43:05,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:43:49,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:44:20,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 10:45:01,0.006826356453938338,4.65991424362256e-05,-0.00011814792721120959,0.0052218915236475595,5231942871.615165
2024-11-14 10:45:22,0.006826356453938338,4.65991424362256e-05,-0.00011814792721120959,0.0052218915236475595,5231942871.615165
2024-11-14 10:45:44,0.006826356453938338,4.65991424362256e-05,-0.00011814792721120959,0.0052218915236475595,5231942871.615165
2024-11-14 10:46:47,0.008449206257964309,7.138908638962324e-05,-0.0012110237822955394,0.006434080450111084,12626700306.931171
2024-11-14 11:00:44,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 11:02:39,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 11:04:18,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 11:10:39,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 11:11:19,0.01023584947249348,0.00010477261442354505,-1.248646383013888,0.007802301652756414,118301328660.45282
2024-11-14 11:12:57,0.008196489996718159,6.718244826630085e-05,-0.4418803055284448,0.0063626772391794425,118191000228.02307
